Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,FT50,PDF
"The ""Third Hand"": IT-Enabled Competitive Advantage in Turbulence Through Improvisational Capabilities.","Pavlou, Paul A.; El Sawy, Omar A.",Information Systems Research,10477047,,Sep2010,21,3,443,29,53906663,10.1287/isre.1100.0280,INFORMS: Institute for Operations Research,Article,"Information technology; Associations, institutions, etc.; Information resources management; System analysis; High technology; Computer systems; Knowledge management; Competitive advantage in business; First-mover advantage; Product management; Other Similar Organizations (except Business, Professional, Labor, and Political Organizations); All Other Information Services; Computer Systems Design Services; Computer systems design and related services (except video game design and development)",competitive advantage; competitive dynamics; digital systems; dynamic capabilities; environmental turbulence; improvisation; improvisational capabilities; IT-leveraging capability; new product development,"Organizations are increasingly engaged in competitive dynamics that are enabled or induced by information technology (IT). A key competitive dynamics question for many organizations is how to build a competitive advantage in turbulence with digital IT systems. The literature has focused mostly on developing and exercising dynamic capabilities for planned reconfiguration of existing operational capabilities in fairly stable environments with patterned ""waves,"" but this may not always be possible, or even appropriate, in highly turbulent environments with unexpected ""storms."" We introduce improvisational capabilities as an alternative means for managing highly turbulent environments; we define this as the ability to spontaneously reconfigure existing resources to build new operational capabilities to address urgent, unpredictable, and novel environmental situations. In contrast to the planned role of dynamic and operational capabilities and the ambidexterity that they jointly offer, improvisational capabilities are proposed to operate distinctly as a ""third hand"" that facilitates reconfiguration and change in highly turbulent environments. First, the paper develops the notion of improvisational capabilities and articulates the key differences between the two ""reconfiguration""—improvisational and dynamic—capabilities. Second, the paper compares the relative effects of improvisational and dynamic capabilities in the context of new product development in different levels of environmental turbulence. Third, the paper shows how IT-leveraging capability in new product development is decomposed into its three digital IT systems: project and resource management systems, organizational memory systems (OMS), and cooperative work systems—and how each of these IT systems enhances improvisational capabilities, an effect that is accentuated in highly turbulent environments. The results show that although dynamic capabilities are the primary predictor of competitive advantage in moderately turbulent environments, improvisational capabilities fully dominate in highly turbulent environments. Besides discriminant validity, the distinction between improvisational and dynamic capabilities is evidenced by the differential effects of IT-leveraging capability on improvisational and dynamic capabilities. The results show that the more the IT-leveraging capability is catered toward managing resources (through project and resource management systems) and team collaboration (through cooperative work systems) rather than relying on past knowledge and procedures (through organizational memory systems), the more it is positively associated with improvisational capabilities, particularly in more turbulent environments. The paper draws implications for how different IT systems can influence improvisational capabilities and competitive advantage in turbulent environments, thereby enhancing our understanding of the role of IT systems on reconfiguration capabilities. The paper discusses the theoretical and practical implications of building and exercising the ""third hand"" of improvisational capabilities for IT-enabled competitive dynamics in turbulence.",FT50,Y
"Too Little, Too Early: Introduction Timing and New Product Performance in the Personal Digital Assistant Industry.","Bayus, Barry L.; Jain, Sanjay; Rao, Ambar G.",Journal of Marketing Research (JMR),00222437,,Feb1997,34,1,50,14,9703160182,,American Marketing Association,Article,New product development -- Marketing; First-mover advantage; Follower advantage; Marketing; Duopolies; Market entry; Profit maximization; Product management; MARKETING; Market share; Marketing Consulting Services; Competition; Pocket computers; Success in business -- Economic aspects,,"The authors address the following key questions: (1) When should a firm introduce a new product? (2) What should its performance level be? and (3) How do the decisions of a competing firm affect a firm's timing and product performance decisions? The authors present a detailed case study of the initial competitors in the personal digital assistant (PDA) industry on the basis of which they construct a stylized game-theoretic model of entry timing and product performance level decisions in a duopoly. Situations in which the duopolists are symmetric as well as asymmetric in terms of their estimates of market size and product development capabilities are considered. When firms are symmetric, the authors show that an equilibrium exists when the firms enter at different times with different performance levels. In the asymmetric cases, the firm that has a higher estimate of market size enters first, as does the firm with a superior development process. The performance level decisions, however, depend on the sensitivity of demand to this variable. The results provide one explanation for empirical observations that market pioneers maintain their leadership in some cases, and later entrants eventually dominate in other cases. The authors then relate the model results to actual decisions in the PDA market, finding that Apple's Newton was ""too little, too early.""",FT50,Y
Whether and When? Probability and Timing of Incumbents' Entry into Emerging Industrial Subfields.,"Mitchell, Will",Administrative Science Quarterly,00018392,,Jun89,34,2,208,23,4018467,,Administrative Science Quarterly,Article,Market entry; First-mover advantage; Follower advantage; Product launches; Commercialization; Industrial organization (Economic theory); Barriers to entry (Industrial organization); Statistical hypothesis testing; Imaging systems in medicine; Disruptive technologies,,"This paper examines the probability and timing of entry by industry incumbents into emerging technical subfields. When a new technical subfield of an industry emerges, an industry incumbent faces opposing entry incentives, either to wait until technical and market uncertainties subside or to stake out a strong position early. This paper argues that an incumbent is likely to enter a new subfield if the firm's core products are threatened or if it possesses industry-specialized supporting assets. The greater the competitive threat, the less likely an incumbent is to enter but the earlier it will do so. The predictions are supported with analysis of 30 years of entry data from five subfields of the American medical diagnostic imaging industry.",FT50,Y
ANIMATING THE PIONEER VERSUS LATE ENTRANT DEBATE: AN HISTORICAL CASE STUDY.,"Bryman, Alan",Journal of Management Studies,00222380,,May97,34,3,415,24,9707224514,,Wiley-Blackwell,Article,First-mover advantage; High technology industries employees; Industrial management; Competitive advantage in business; Follower advantage; Market share; Consumer preferences; Product differentiation; United States; Debates & debating; Animation (Cinematography); Case studies,,"This paper examines the debate about whether early entrants/pioneers to an industry enjoy long-term advantage over theirs successors. While most of the research suggests that pioneers are advantaged, there are methodological problems with these studies that tend to enhance the likelihood that pioneers will be found to be more successful. Through a case study of the US animation industry, it is shown that being a late entrant was almost certainly advantageous to some of the companies concerned. The paper explores the reasons why some late entrants prevailed over others and some of the mechanisms that allowed late entrants to overcome pioneers. The factors involved in survival relative to pioneers include the limited, protection of patents, complacency, the mobility of staff with expertise in a new technology (in this case cel animation), and the neglected importance of managerial and organizational factors. It is shown that the findings also have implications for the population ecology approach.",FT50,Y
Do You See What I Mean? An Entrepreneurship Perspective on the Nature and Boundaries of the Firm.,"Zander, Ivo",Journal of Management Studies,00222380,,Nov2007,44,7,1141,24,27373105,10.1111/j.1467-6486.2007.00732.x,Wiley-Blackwell,Article,"Innovations in business; Entrepreneurship; Business incubators; Profit -- Accounting; Profitability; Break-even analysis; Business logistics; First-mover advantage; New business enterprises; Process, Physical Distribution, and Logistics Consulting Services; Creative ability; Creative thinking; Personality & creative ability",,"In answering the questions ‘why does the firm exist?’ and ‘what determines its boundaries?’, established theories of the firm have focused on boundary choice in a context of relatively easily identified and evaluated alternatives. This paper starts by asking the kindred question ‘why does the firm come into existence?’, shifting attention to the circumstances and choices surrounding new firm formation and the exploitation of new and untried business ideas. It proceeds to delineate an entrepreneurship perspective on the nature and boundaries of the firm, where boundary decisions are driven by the difficulty of implementing new, subjective means–ends frameworks in sometimes very unreceptive markets. A set of propositions developing the concepts of cognitive incongruence and cognitive incompleteness suggests that activities are internalized when other market participants are unable to accept or understand the entrepreneur's subjectively perceived means–ends framework. In conclusion, the paper supports the development of theory that explains choice of modes of action based on subjective world views and the emerging notion of a distinctive entrepreneurship-based theory of the firm.",FT50,Y
Latecomer Strategies: Evidence From the Semiconductor Industry in Japan and Korea.,"Cho, Dong-Sung; Kim, Dong-Jae; Rhee, Dong Kee",Organization Science,10477039,,Jul/Aug98,9,4,489,17,1095646,,INFORMS: Institute for Operations Research,Article,Semiconductor industry; Follower advantage; First-mover advantage; Market entry; SWOT analysis; Resource-based theory of the firm; Knowledge-based theory of the firm; Transaction cost theory of the firm; Korea; Japan; Semiconductor and Related Device Manufacturing,Global Semiconductor Industry.; Latecomer Advantages and Disadvantages; Latecomer Strategy,"The effects of strategic order of entry on firms' performance have long been an issue in many areas of study. Past research efforts, however, have been concentrated mostly on first mover or early entrant advantages. To contribute to developing a theory of latecomer strategies, the authors investigate how late-comers compete successfully or even leapfrog early movers. They review previous studies on early mover advantages and disadvantages, and group the sources of such advantages or disadvantages into three areas: the firm, its market, and its competitors. The theoretical focus is how a firm converts the opportunities stemming from entry order into performance. The authors seek to confirm and extend relevant theories by examining how late entrants have caught up with incumbent industry leaders in the global semiconductor industry. On the basis of in-depth case analysis of three Japanese and three Korean semiconductor companies, they identify and categorize successful latecomer strategies into two types: strategies for overcoming latecomer disadvantages and strategies for utilizing latecomer advantages. Focusing, thin margin or loss bearing, and volume building form the essence of strategies for overcoming disadvantages, whereas odd timing, time compression, human-embodied technology transfer, benchmarking, technological leapfrogging, and resource leveraging form the essence of strategies for utilizing advantages. Because many companies in Asia have had to face the reality of being latecomers, the Asian perspectives are particularly useful for studying and explicating latecomer strategies.",FT50,Y
The Entrepreneurial M-Form: Strategic Integration in Global Media Firms.,"Eisenmann, Thomas R.; Bower, Joseph L.",Organization Science,10477039,,May/Jun2000,11,3,348,8,5200276,,INFORMS: Institute for Operations Research,Article,Entrepreneurship; Chief executive officers; First-mover advantage; Agency theory; Resource-based theory of the firm; Diversification in industry; Capital intensity; Mass media industry; Interorganizational relations; Diversified companies,M-Form Corporations; Media and Entertainment Industries; Related Diversification; Strategic Management,"Many researchers believe that bounded rationality prevents CEOs in large, complex, multidivisional (""M-form"") corporations from personally formulating division-level strategies. Instead, CEOs are seen as guiding a ""bottom-up"" process whereby division managers propose strategies for review and approval by the corporate office. Contrary to this view, we argue that CEOs in global media firms frequently drive strategy in a ""top-down"" manner, especially when their firms seek to expand by integrating the activities of two or more existing divisions. We refer to such firms as ""Entrepreneurial M-forms,"" and maintain that their reliance on an activist CEO offers benefits: (1) in turbulent environments, when the use of slow, bottom-up planning processes risks forfeiting first-mover advantages; and (2) when expansion entails major capital commitments, and division managers may be reluctant to accept the career risks associated with sponsorship of ""bet-the-company"" projects.",FT50,Y
The Temporal Development of Strategy: Patterns in the U.K. Insurance Industry.,"Webb, David; Pettigrew, Andrew",Organization Science,10477039,,Sep/Oct99,10,5,601,21,2685728,,INFORMS: Institute for Operations Research,Article,"Strategic planning; Resource-based theory of the firm; Contingency theory (Management); Innovation adoption; Insurance company management; Industrial organization (Economic theory); First-mover advantage; Great Britain; Direct group life, health and medical insurance carriers; Direct Health and Medical Insurance Carriers; Other Direct Insurance (except Life, Health, and Medical) Carriers; Insurance Agencies and Brokerages; Institutional theory (Sociology); Contextual analysis",Contextualism; early adopters; receptive context.; strategic agility; strategy diffusion,"Much writing in the field of strategic management remains an exercise in comparative statics. Cross-sectional research designs are combined with the static metaphors of contingency thinking to analyse the fit between the positioning and resource base of the firm and its performance in differing environments. However, the inadequacies of this tradition are increasingly recognised even by scholars who have created it (Porter 1991). Strategy can no longer be conceived through the static language of states or positions and must now be understood as an innovation contest where the bureaucratic and inflexible will not survive. This paper takes up the challenge to explore the dynamics of industry and firm strategy development. The empirical focus of the paper is the U.K. insurance industry in a period of upheaval between 1990 and 1996. By means of an innovative crosscorrelational time series analysis, we are able to show the ebb and flow of strategic change in the industry and the patterns of initiation and imitation as certain firms lead areas of strategy and others follow. These findings are interrogated and interpreted by drawing on and developing theoretical ideas from three literatures which historically have not talked to one another. These are the literatures on innovation, institutionalism, and contextualism.The empirical results show firms pursuing multiple strategies at one point in time and also altering the strategic agenda over time. A cross-correlational analysis of nine firms in the U.K. insurance industry reveals the existence of leaders and laggards in the development of a variety of strategic initiatives. Theoretically the paper examines the mixture of external conditions and internal context and processes which contribute to the development of early and later adopters of strategies in an industry over time.",FT50,Y
Battle of the Networks.,"Cares, Jeff",Harvard Business Review,00178012,,Feb2006,84,2,40,2,19406166,,Harvard University,Article,Marketing management; Cost effectiveness; Business-to-business transactions; Computer networks; Supply chain management; Strategic planning; Management -- Simulation methods; Economies of scope; Game theory; Business planning; Product design; Computer Systems Design Services; Marketing Consulting Services; Industrial Design Services,,"The article discusses management and network-to-network competition. Companies use a ""lockout"" strategy involving product design, feedback loops within supply chains, or social interactions within markets to dominate their market. One way to understand network-to-network competition is to redesign board games so they are modeled on Internet networks that have ""rich-get-richer"" connection schemes, which are similar to business' lockout strategy. Such a ""connectivity matrix"" tool led to new strategies to counter the first-mover advantage and unlock the lockout. Traditional strategies use economies of scale, while the new strategies call for economies of scope. This tool has a practical business application for supply chains and emerging vendor networks. The author states that understanding competitive dynamics is essential to long-term survival in networked competition. INSET: The New Rules of the Game.",FT50,
First-Mover Disadvantage.,"Boulding, William; Christen, Markus",Harvard Business Review,00178012,,Oct2001,79,9,20,2,5329008,,Harvard University,Article,First-mover advantage; Business finance; Corporate profits; Rate of return; Financial performance; Consumer goods; Business research; Corporate finance; Econometrics; Research and Development in the Social Sciences and Humanities; All other non-depository credit intermediation; All Other Consumer Goods Rental; Consumer Lending; Research methodology,,Speed kills: That's the disturbing conclusion of a new study of companies that pioneer markets. Learn why the venerated concept of first-mover advantage may be just an illusion.,FT50,Y
HOW MARKET SMARTS CAN PROTECT PROPERTY RIGHTS.,"Anand, Bharat; Galetovic, Alexander",Harvard Business Review,00178012,,Dec2004,82,12,72,8,15242501,,Harvard University,Article,Marketing strategy; Intellectual property; Competitive advantage in business; Business planning; Marketing management; Marketing planning; Core competencies; Business intelligence; Success in business; Patent laws & legislation; Copyright; Administrative Management and General Management Consulting Services; Marketing Consulting Services; Competition,,"Intellectual property comprises an ever-increasing fraction of corporate wealth, but what's the good of that if an ever-increasing fraction of the property is copied or stolen? Faced with developing countries' limited and inadequately enforced patent and copyright laws, some companies are resorting to market-based strategies to protect their intellectual property. These include preempting or threatening competitors, embedding intellectual property in environments that can be protected, bundling insecure intellectual property with its more secure cousins, and actually entering the businesses that pose a threat. The authors urge companies coping with weak property rights to follow a decision tree when choosing which strategies to use and when: Start by thinking of the strategies that will protect your business's core. If, for example, a first-mover advantage is within reach, making yourself more committed to intellectual property could be the answer. If you and your rivals are equally matched, ask yourself, ""Can those that threaten me with copying be copied in turn?"" The knowledge that each of you can hurt the other may dampen the competitive intensity or even lead to voluntary sharing of property. If these solutions fail or don't apply, try forging a connection with a product or business closely related to your own. Doing so may prevent a valued asset from falling into a rival's hands or make the asset harder to misappropriate. This approach can even help you expand your piece of the market pie or reduce the cost of making the threatened product, perhaps to the point where you can compete against pirated goods. Finally, if there still doesn't seem to be a way of making money from your threatened product, you may choose to move into the very business that has hurt your own. Such strategies are behind the economics of successful companies like Intel and NBC, say the authors.",FT50,Y
Price Smarter on the Net.,"Baker, Walter; Marn, Mike; Zawada, Craig",Harvard Business Review,00178012,,Feb2001,79,2,122,6,4039083,,Harvard University,Article,Electronic commerce; Internet marketing; Pricing; Marketing strategy; Target marketing; Market segmentation; Best practices; Business planning; Success in business; Strategic planning; Electronic Shopping; Electronic shopping and mail-order houses,,"Companies generally have set prices on the Internet in two ways. Many start-ups have offered untenably low prices in a rush to capture first-mover advantage. Many incumbents have simply charged the same prices on-line as they do off-line. Either way, companies are missing a big opportunity. The fundamental value of the Internet lies not in lowering prices or making them consistent but in optimizing them. After all, if it's easy for customers to compare prices on the Internet, it's also easy for companies to track customers' behavior and adjust prices accordingly. The Net lets companies optimize prices in three ways. First, it lets them set and announce prices with greater precision. Different prices can be tested easily, and customers' responses can be collected instantly. Companies can set the most profitable prices, and they can tap into previously hidden customer demand. Second, because it's so easy to change prices on the Internet, companies can adjust prices in response to even small fluctuations in market conditions, customer demand, or competitors' behavior. Third, companies can use the clickstream data and purchase histories that it collects through the Internet to segment customers quickly. Then it can offer segment-specific prices or promotions immediately. By taking full advantage of the unique possibilities afforded by the Internet to set prices with precision, adapt to changing circumstances quickly, and segment customers accurately, companies can get their pricing right. It's one of the ultimate drivers of e-business success.",FT50,Y
Strategy and the Internet.,"Porter, Michael E.",Harvard Business Review,00178012,,Mar2001,79,3,62,17,4147416,,Harvard University,Article,Strategic planning; Internet industry; Competitive advantage in business; Internet marketing; Information technology; Virtual corporations; Profitability; Marketing strategy; Electronic commerce; Electronic Shopping; Electronic shopping and mail-order houses; Internet Publishing and Broadcasting and Web Search Portals; Disruptive technologies,,"Many of the pioneers of Internet business, both dot-coms and established companies, have competed in ways that violate nearly every precept of good strategy. Rather than focus on profits, they have chased customers indiscriminately through discounting, channel incentives, and advertising. Rather than concentrate on delivering value that earns an attractive price from customers, they have pursued indirect revenues such as advertising and click-through fees. Rather than make trade-offs, they have rushed to offer every conceivable product or service. It did not have to be this way--and it does not have to be in the future. When it comes to reinforcing a distinctive strategy, Michael Porter argues, the Internet provides a better technological platform than previous generations of IT. Gaining competitive advantage does not require a radically new approach to business; it requires building on the proven principles of effective strategy. Porter argues that, contrary to recent thought, the Internet is not disruptive to most existing industries and established companies. It rarely nullifies important sources of competitive advantage in an industry; it often makes them even more valuable. And as all companies embrace Internet technology, the Internet itself will be neutralized as a source of advantage. Robust competitive advantages will arise instead from traditional strengths such as unique products, proprietary content, and distinctive physical activities. Internet technology may be able to fortify those advantages, but it is unlikely to supplant them. Porter debunks such Internet myths as first-mover advantage, the power of virtual companies, and the multiplying rewards of network effects. He disentangles the distorted signals from the marketplace, explains why the Internet complements rather than cannibalizes existing ways of doing business, and outlines strategic imperatives for dot-coms and traditional companies. INSETS: The Six Principles of Strategic Planning;Words for the Unwise: The Internet's Destructive Lexicon;The Internet and the Value Chain;Strategic Imperatives for Dot-Coms and Established Companies",FT50,Y
The Half-Truth of First-Mover Advantage.,"Suarez, Fernando; Lanzolla, Gianvito",Harvard Business Review,00178012,,Apr2005,83,4,121,7,16572727,,Harvard University,Article,Market entry; New product development -- Marketing; Competitive advantage in business; Product acceptance; Management; Product management; Marketing; Strategic planning; Technological innovations; Business intelligence; Administrative Management and General Management Consulting Services; Marketing Consulting Services; Competition,,"Many executives take for granted that the first company in a new product category gets an unbeatable head start and reaps long-lasting benefits. But that doesn't always happen. The authors of this article discovered that much depends on the pace at which the category's technology is changing and the speed at which the market is evolving. By analyzing these two factors, companies can improve their odds of succeeding as first movers with the resources they possess. Gradual evolution in both the technology and the market provides a first mover with the best conditions for creating a dominant position that is long lasting (Hoover in the vacuum cleaner industry is a good example). In such calm waters, a company can defend its advantages even without exceptional skills or extensive financial resources. When the market is changing rapidly and the product isn't, a first entrant with extensive resources can obtain a long-lasting advantage (as Sony did with its Walkman personal stereo); a company with only limited resources probably must settle for a short-term benefit. When the market is static but the product is changing constantly, first-mover advantages of either kind--durable or short-lived--are unlikely. Only companies with very deep pockets can survive (think of Sony and the digital cameras it pioneered). Rapid churn in both the technology and the market creates the worst conditions. But if companies have an acute sense of when to exit -- as Netscape demonstrated when it agreed to be acquired by AOL--a worthwhile short-term gain is possible. Before venturing into a newly forming market, you need to analyze the environment, assess your resources, then determine which type of first-mover advantage is most achievable. Once you've gone into the water, you have no choice but to swim.",FT50,Y
Being Early Beats Being Better.,"Frick, Walter",Harvard Business Review,00178012,,Jun2014,92,6,30,2,96090568,,Harvard University,Interview,"First-mover advantage; New product development; Market penetration; Marketing Consulting Services; McDonnell Douglas DC-10 (Jet transport); TriStar (Jet transport); Greve, Henrich -- Interviews; Seidel, Marc-David -- Interviews",,"An interview is presented with business education college teachers Henrich Greve and Marc-David Seidel. The two men discuss their research on the role of first-moved advantage in the adaption of technology in which their study of the history of sales of the McDonnell Douglas DC-10 and Lockheed L-1011 TriStar jet transports in the 1970s in which the former, despite serious design flaws, was able to obtain a larger market share due to having entered the market one year earlier than the L-1011.",FT50,Y
BREAKING COMPROMISES.,,Harvard Business Review,00178012,,Nov/Dec96,74,6,190,0,18482973,,Harvard University,Letter,First-mover advantage; Letters to the editor,,"A response by the authors about a letter to the editor regarding the article ""Breaking Compromises, Breakaway Growth"" from the September-October 1996 issue is presented.",FT50,Y
Caution's Cost: When NOT Investing Brings on the Higher Risk.,"Harris, T. George",Harvard Business Review,00178012,,Jan/Feb1993,71,1,7,0,9743562,,Harvard University,Article,"Opportunity costs; Risk assessment; Investment policy; Capital investments; First-mover advantage; Competitive advantage in business; Capital market; Marketing strategy; Nucor Corp.; Ghemawat, Pankaj",,"The article considers investment risk assessment and competition in capital markets. Harvard Business School Professor Pankaj Ghemawat comments on companies' failure to invest. He says that opportunity is lost and rival companies might gain an early-mover advantage. How Nucor steel mill gained a competitive advantage over Bethlehem Steel in regard to a thin-slab casting process is mentioned. Topics include the effect of investment policy on buyers, suppliers, and employees, and examples of lost opportunity costs.",FT50,Y
Emerging Markets.,"Andrews, Katherine Zoe",Harvard Business Review,00178012,,May/Jun96,74,3,12,2,9605027828,,Harvard University,Article,International business enterprises; Globalization; Emerging markets; International markets; Marketing channels; Strategic planning; Commercial markets; Innovations in business; First-mover advantage; Developing countries,,"The article provides a study on ""Factors in Emerging Markets and Their Impact on First Mover Advantages"" which urges companies to understand and adjust for the less often discussed reasons for caution in emerging markets. The predominance of low-quality goods and services in developing nations and the support of governments often allow pioneers to seize the best production sites, distribution channels, and market niches. Looking at the technological advantages that attract would-be pioneers, the researchers urge prudence. The study indicates a condition that can work against the technological advantages offered by emerging markets: Many developing nations have minimal patent and trademark protection and have difficulty enforcing commercial laws.",FT50,Y
"Give a Little, Get a Little.","WALDEN, ERIC; WETHERBE, JAMES",Harvard Business Review,00178012,,Sep2005,83,9,30,2,18300266,,Harvard University,Article,Intellectual property; Partnering between organizations; Service industries; Contractors -- Accounting; First-mover advantage; Commercial law; Host countries (Business); Merrill Lynch & Co. (1973-2009); Bloomberg LP; Service Establishment Equipment and Supplies Merchant Wholesalers; Information services outsourcing,,"Loosen your grip on your intellectual property, and you may realize lower fees and better service.",FT50,Y
How Local Companies Keep Multinationals AT BAY.,"Bhattacharya, Arindam K.; Michael, David C.",Harvard Business Review,00178012,,Mar2008,86,3,84,12,30028332,,Harvard University,Article,International competition; Strategic planning; Business models; Economies of scope; Glocalization; Competitive advantage in business; Emerging markets; Success in business; Corporate growth; International markets; Follower advantage; First-mover advantage; Globalization; Innovation adoption,,"A substantial number of local companies in emerging markets have managed to hold their own -- or better -- in the face of competition from global Goliaths. Bhattacharya and Michael of the Boston Consulting Group show how these domestic Davids have achieved that impressive feat. The secret is to adopt most, if not all, elements of a six-part strategy. One, the homegrown winners customize products and services to meet local needs and initially go after economies of scope. Two, they develop business models to overcome market-specific obstacles and gain competitive advantage in the process. Three, they create or buy the latest technologies and use them effectively. Four, they find ways to benefit from low-cost labor and train workers inhouse to overcome shortages of skilled employees. Five, they scale quickly by going national before regional rivals can challenge them. Six, they invest in top management talent in order to sustain rapid growth. No element on its own is groundbreaking, but in the aggregate the strategy is a potent one, as the authors illustrate with the story of Ctrip, China's largest online travel agent. Successful as homegrown champions have been -- and this article identifies 50 of them -- a few multinationals, such as Yum Brands, Nokia, and Hyundai, have managed to beat the locals at their own game by using the six-part strategy. Global companies would do well to study these models of achievement and, armed with acquired wisdom, rethink their own strategies before local rivals shut them out of lucrative emerging markets.",FT50,Y
THE FUTURE OF Interactive MARKETING.,"Day, George S.",Harvard Business Review,00178012,,Nov/Dec96,74,6,161,2,18482903,,Harvard University,Article,Internet marketing; MARKETING; Business planning; Electronic commerce; Business research; Success in business; Innovation adoption; First-mover advantage; Follower advantage; Business forecasting; Research and Development in the Social Sciences and Humanities; Electronic Shopping; Electronic shopping and mail-order houses; Corporations,,"In this article the author examines the snares that are likely to prevent established companies from achieving Internet marketing success. Established firms may defer entering the Internet marketplace until it is too late, waiting for technology to reach a certain level of ease of use and reliability. By contrast, a company can move too quickly and impede itself by choosing the wrong kind of technology to drive their online marketing initiatives. Firms should avoid the natural reluctance to attempt things that might detract from their core business. Commercial concerns should set up new divisions to deal exclusively with new technology marketing ventures. A number of early set-backs in Internet marketing schemes might lead to a reduction in persistence on the part of businesses.",FT50,Y
The New Old Thing.,,Harvard Business Review,00178012,,Jul/Aug2001,79,7,148,1,4794902,,Harvard University,Article,Technological innovations; New product development; Business conditions; Business planning; Innovation adoption; Success in business; Industrial management; Strategic planning; First-mover advantage; Marketing Consulting Services; Reprints (Publications),,"The article presents a reprint of the article ""Innovative Imitation,"" by Theodore Levitt, which appeared in the September-October 1966 issue. The desire to create new products pervades business today. Levitt argued, however, that the success of most companies lies more on imitation than innovation. He believes that being a fast follower is a more dependable approach than being a first mover. No company could reasonably afford to be as constant an innovator as it is compelled to be an imitator. It makes sense to have a carefully developed method of planning innovative imitation as it is of planning innovation itself.",FT50,Y
